 # i: indice decimal de longitude 
 # j: indice decimal de latitude
 # t: indice decimal du numero du jour. Doit toujours etre 0.5
 #    origine: orgine des fichiers de forcage
 # mand : mandatory

 # i      j           mand t          mand
 1081.244 265.187    -1.0  135.50     1.0
 1081.894 264.342    -1.0  135.50     1.0
 1081.317 265.066    -1.0  135.50     1.0
 1081.348 264.669    -1.0  135.50     1.0
 1081.363 264.872    -1.0  136.50     1.0
 1081.745 264.803    -1.0  136.50     1.0
 1081.657 264.917    -1.0  136.50     1.0
 1081.985 264.914    -1.0  136.50     1.0
 1081.699 264.744    -1.0  137.50     1.0
 1081.977 264.329    -1.0  137.50     1.0
 1081.337 265.307    -1.0  137.50     1.0
 1081.728 264.477    -1.0  137.50     1.0
 1081.936 265.020    -1.0  138.50     1.0
